Concentration,Time,Treatment,Environment,Date,Replica,Average Peak Ratio,Peak Ratio Standard of Deviation,Area Ratio
5,60,Erastin+,Well Plate,180808,1,0.10591737196997002,0.032091105686822295,0.10569254653299048
2,60,Erastin+,Well Plate,180808,1,0.07254313041674203,0.01367332733980942,0.07350053985790457
1,60,Erastin+,Well Plate,180808,1,0.11208564895220972,0.03220281616961219,0.1158773082054197
5,60,Erastin-,Well Plate,180808,1,0.1191172084620895,0.0480890522209256,0.09693938319400537
2,60,Erastin-,Well Plate,180808,1,0.03314554355312978,0.010549208456221,0.025372427290391228
1,60,Erastin-,Well Plate,180808,1,0.09023697640137841,0.05332219140250241,0.07901828224105874
5,45,Erastin+,Well Plate,180808,1,0.13548163495687615,0.029204622665928593,0.13811981585668728
2,45,Erastin+,Well Plate,180808,1,0.08184304525949532,0.014396398359157724,0.08082250603382059
1,45,Erastin+,Well Plate,180808,1,0.09022311606040971,0.013841346576140574,0.0935476145124456
5,45,Erastin-,Well Plate,180808,1,0.047745126167853424,0.02227922665483784,0.04818400157291264
2,45,Erastin-,Well Plate,180808,1,0.032291861982760336,0.016315705912459906,0.03760495019865325
1,45,Erastin-,Well Plate,180808,1,0.08606458271787555,0.01787902052703838,0.07497659881939968
5,30,Erastin+,Well Plate,180808,1,0.10472753249003548,0.020171245647269333,0.11487272538028459
2,30,Erastin+,Well Plate,180808,1,0.09471897119735773,0.03126828563362544,0.08645348336367174
1,30,Erastin+,Well Plate,180808,1,0.01484846636933774,0.028532919144482468,0.0045288534073494304
5,30,Erastin-,Well Plate,180808,1,0.11640613888734522,0.053181623623637084,0.08652250358000521
2,30,Erastin-,Well Plate,180808,1,0.0036211865019542574,0.011295045680436972,0.0031081740663493314
1,30,Erastin-,Well Plate,180808,1,0.011541676716534966,0.0031716221180458927,0.008776577581589494
