Concentration,Time,Treatment,Environment,Date,Replica,Average Peak Ratio,Peak Ratio Standard of Deviation,Area Ratio
0.5,50,Erastin+,Well Plate,190228,1,0.06780977099771027,0.058124185953529146,0.07035668238394312
0.5,50,Erastin+,Well Plate,190228,2,0.017204021463091437,0.012509471082056557,0.01102309752308729
0.5,50,Erastin+,Well Plate,190228,3,0.026341169086052208,0.030368571451159006,0.01947413310869195
0.5,50,Erastin-,Well Plate,190228,1,0.003439937275719768,0.0037763771694400497,0.0029076634502996287
0.5,50,Erastin-,Well Plate,190228,2,0.03261800457594647,0.02031561335030769,0.02594205647245032
1,50,Erastin+,Well Plate,190228,1,0.03776510065065669,0.02466535000596573,0.041703793084479246
1,50,Erastin+,Well Plate,190228,2,0.18294855846248426,0.09330323856989185,0.19267257389567155
1,50,Erastin+,Well Plate,190228,3,0.0955376963951825,0.0227933728138778,0.08960276792250604
1,50,Erastin-,Well Plate,190228,1,0.028720437797676305,0.016703277941832465,0.019454002458534295
1,50,Erastin-,Well Plate,190228,2,0.014480624589596626,0.013712700748453254,0.010512913283069011
1.5,50,Erastin+,Well Plate,190228,1,0.10151911308696467,0.05961744749507136,0.06135366150481503
1.5,50,Erastin+,Well Plate,190228,2,0.12720817736834014,0.09752969798062876,0.07696683511535317
1.5,50,Erastin+,Well Plate,190228,3,0.24874771725197836,0.12603577721788617,0.41557426657959523
1.5,50,Erastin-,Well Plate,190228,1,0.09452965402857637,0.04731220381561944,0.07138162090457677
1.5,50,Erastin-,Well Plate,190228,2,0.07953412794695486,0.02586585529686937,0.06749249769041077
2,50,Erastin+,Well Plate,190228,1,0.3250808240908072,0.12093817641973491,0.2906009589515282
2,50,Erastin+,Well Plate,190228,2,0.07415924330724168,0.03754451540322382,0.10591869611483085
2,50,Erastin+,Well Plate,190228,3,0.09586994877322663,0.052594285972326814,0.0989762594157108
2,50,Erastin-,Well Plate,190228,1,0.17078901240221264,0.08428219627883378,0.15452746624713362
