2 uM untreated 50 min well1 1,"[0.08548890928704313, 0.0435629744378241, 0.06307492596175589]"
2 uM untreated 50 min well1 2,"[0.06127233086302308, 0.03748023831349148, 0.04125450179655206]"
2 uM untreated 50 min well2 1,"[0.1332677615672528, 0.4927288412447106, 0.044566642836630754]"
2 uM untreated 50 min well2 2,"[0.07030325818035937, 0.02991543197959442, 0.05617660284330331]"
2 uM zapped 50 min well1 1,"[0.19053555944065145, 0.12344042641252054, 0.14075676032637935]"
2 uM zapped 50 min well1 2,"[0.13464968584742834, 0.07075448958268, 0.08777067162404324]"
2 uM zapped 50 min well2 1,"[0.16424740446684383, 0.16640411639869299, 0.1379212113716475]"
2 uM zapped 50 min well2 2,"[0.16971680651675378, 0.09024984758537376, 0.16920056401803552]"
1.5 uM untreated 50 min well1 1,"[0.033551783099287635, 0.018537520528998444, 0.02224792543443453]"
1.5 uM untreated 50 min well1 2,"[0.02429309943100529, 0.009345296632036804, 0.017076496805200694]"
1.5 uM untreated 50 min well2 1,"[0.12887009456179946, 0.06660873223075359, 0.09763549995187477]"
1.5 uM untreated 50 min well2 2,"[0.14433396800912676, 0.03963875539133779, 0.11577630600639048]"
1.5 uM zapped 50 min well1 1,"[0.08968805393997376, 0.07380661560458021, 0.06145752158761254]"
1.5 uM zapped 50 min well1 2,"[0.06103407817657699, 0.04409068343305126, 0.052749587575087575]"
1.5 uM zapped 50 min well2 1,"[0.24357323429315889, 0.13694123193558155, 0.2033887214629146]"
1.5 uM zapped 50 min well2 2,"[0.22751240219621363, 0.13174372479057622, 0.2009231747880143]"
1 uM untreated 50 min well1 1,"[0.16619119005392005, 0.038834074695879885, 0.14665605704460263]"
1 uM untreated 50 min well1 2,"[0.12183554616526523, 0.0730219914108117, 0.09922221941418108]"
1 uM untreated 50 min well2 1,"[0.07746446603226231, 0.039143156737502946, 0.06118305077946033]"
1 uM untreated 50 min well2 2 ,"[0.061286904656192104, 0.03813000861306814, 0.04498785475392096]"
1 uM zapped 50 min well1 1,"[0.04577951137650503, 0.026648340034335468, 0.02246249482923617]"
1 uM zapped 50 min well1 2,"[0.01929293797724803, 0.013248846397295448, 0.014198981681885691]"
1 uM zapped 50 min well2 1,"[0.19589576412368323, 0.10410189658417343, 0.16378889101481645]"
1 uM zapped 50 min well2 2,"[0.12852791660775562, 0.0328527796891078, 0.11977949105563754]"
