1 uM CS ut 1,"[0.0110523399547115, 0.003363520516833427, 0.010974049637362008]"
1 uM CS ut 2,"[0.00829578484191148, 0.0012021353447412726, 0.005889320498320065]"
1 uM CS ut 3,"[0.05555320218951618, 0.023756519153953746, 0.03807622902137883]"
1 uM CS zapp 1,"[0.00019816608086969836, 0.0034418710344681627, 0.0024308611375379674]"
1 uM CS zapp 2,"[0.024933983078957264, 0.0035620487800337355, 0.013291227556119693]"
1 uM CS zapp 3,"[0.015686708182810507, 0.012708482464136693, 0.01054423640751161]"
1.5 uM CS ut 1,"[0.005743935749468693, 0.0011899213957205093, 0.004382225435678139]"
1.5 uM CS ut 2,"[0.005496152371232344, 0.001295896082246355, 0.0038530707862162077]"
1.5 uM CS ut 3,"[0.0052505302045635326, 0.004358672766031191, 0.0020868874646641175]"
1.5 uM CS zapp 1,"[0.0035195433780154124, 0.0, 0.0032619298899460793]"
1.5 uM CS zapp 2,"[0.007609085523888108, 0.0010670955537828357, 0.005140733452789539]"
1.5 uM CS zapp 3,"[0.00035332287804717933, 0.009128629335545741, 0.005394557007219934]"
2 uM CS ut 1,"[0.008354021726864317, 0.0005377195943421497, 0.007788403034671625]"
2 uM CS ut 2,"[0.007173455815287777, 0.0011376410581315417, 0.005076019160167291]"
2 uM CS zapp 1,"[0.014044988942022668, 0.0008852135559749064, 0.01303062254514485]"
2 uM CS zapp 2,"[0.005748483823938925, 0.0011375881900170233, 0.0042761778076182925]"
2 uM CS zapp 3,"[0.20265313099450585, 0.4744052593535694, 0.08571670942176084]"
2 uM CS zapped 4,"[0.025256083059851744, 0.0, 0.02408082311447449]"
