3 uM untreated 50 min 2,"[0.0382061781605308, 0.01891124546112978, 0.029096984750533676]"
0.5 uM untreated 50 min 1,"[0.005274828581888406, 0.008147587951937202, 0.0021356748314193623]"
0.5 uM untreated 50 min 2,"[0.01389522806324559, 0.01466696374919332, 0.009542552816287804]"
0.5 um treated 30 min 1,"[0.00727994734397773, 0.004016266610931367, 0.002813346599537528]"
0.5 uM treated 30 min 2,"[0.004542274845959591, 0.005337077653026418, 0.0022208798156751414]"
0.5 uM treated 30 min 3,"[-0.003412455812967408, 0.060595744809150066, 0.003775702383692988]"
0.5 uM treated 50 min 1,"[0.11243133210552694, 0.10616912604638164, 0.0892932258413594]"
0.5 uM treated 50 min 2,"[0.17726419489123582, 0.10863016463995484, 0.1396974289882097]"
0.5 uM treated 50 min 3,"[0.11260696486393486, 0.030795322602241288, 0.09494180692482407]"
1 uM untreated 30 min 1,"[0.017644560379435587, 0.02145855779136478, 0.011559512576018345]"
1 um untreated 30 min 2,"[0.008938665647474737, 0.01191848083992546, 0.005437526777005605]"
1 uM treated 30 min 1,"[0.016508497439795163, 0.004886379258514242, 0.011510090569013738]"
1 uM treated 30 min 2,"[0.018197841978466068, 0.008075430296868408, 0.014401070109954438]"
1 uM treated 30 min 3,"[0.01742393282365612, 0.006632380168392776, 0.0077547110193476355]"
1 uM treated 50 min 1,"[0.03688433312946054, 0.02819859225834902, 0.041461687145911995]"
1 uM treated 50 min 2,"[0.19977995168798407, 0.053206673450417824, 0.17520451944615312]"
1 uM treated 50 min 3,"[0.12443687854616502, 0.03521245466225217, 0.11600173143212215]"
1 uM untreated 50 min 1,"[0.04963054031230059, 0.05602204654897683, 0.03296439348040032]"
1 uM untreated 50 min 2,"[0.062401373751003276, 0.02700534385683772, 0.04633683887773237]"
1.5 uM treated 30 min 1,"[0.013683031114267488, 0.008123162276551087, 0.008504365759693988]"
1.5 uM treated 30 min 2,"[0.013526186177745229, 0.01364271630056561, 0.008033812176376085]"
1.5 uM treated 30 min 3,"[0.032063636989779494, 0.011706096632599286, 0.026264570365529285]"
1.5 um treated 50 min 1,"[0.32548425645044526, 0.2209660717547287, 0.23970922295479]"
1.5 uM treated 50 min 2,"[0.33520695194003863, 0.11285078733929024, 0.31622734454997675]"
1.5 uM treated 50 min 3,"[0.2628472417595123, 0.10487761363112519, 0.22441130836305126]"
1.5 uM untreated 30 min 1,"[0.004268493368598994, 0.02435061607842033, 0.004761539489088831]"
1.5 uM untreated 30 min 2,"[0.013539634359989373, 0.010448094729271185, 0.008127095948560547]"
1.5 um untreated 50 min 1,"[0.17323591534295707, 0.053659183847072175, 0.16063606316905019]"
1.2 um untreated 50 min 2,"[0.10341802509701449, 0.044227356748507675, 0.07832282900577879]"
2 uM treated 30 min 1,"[0.061357842915132826, 0.02920840225284388, 0.05989298637487654]"
2 uM treated 30 min 2,"[0.03095545572626076, 0.013534180111746045, 0.030263379936126697]"
2 uM treated 30 min 3,"[0.23650690039570949, 0.0662899656133227, 0.24957143165837792]"
2 uM treated 50 min 1,"[0.11089058806178159, 0.07483600156994367, 0.08996136187563568]"
2 uM treated 50 min 2,"[0.15428624274972724, 0.05588170751945568, 0.20661137600079632]"
2 uM treated 50 min 3,"[0.18928371123849705, 0.07307682110490149, 0.1714601877572837]"
2 uM untreated 30 min 1,"[0.1731282259363136, 0.07116035041028851, 0.15242560823901818]"
2 uM untreated 30 min 2,"[0.06126260676221893, 0.030774136453767708, 0.042265340873767404]"
2 uM untreated 50 min 1,"[0.3864269882391888, 0.10404114489379865, 0.38855615762403656]"
2 uM untreated 50 min 2,"[0.19157898754607336, 0.11373039769270422, 0.17965497052029178]"
2.5 uM treated 30 min 1,"[0.048810927691751285, 0.022388477147923438, 0.051243810212370594]"
2.5 min treated 30 min 2,"[0.14782707145004095, 0.04973296977563383, 0.14018007264347282]"
2.5 uM treated 30 min 3,"[0.11147894332623887, 0.07534255445189271, 0.08236977513175975]"
2.5 uM treated 50 min 1,"[0.20418132001170602, 0.05782298188490145, 0.21267035228513761]"
2.5 uM treated 50 min 2,"[0.10860712032930242, 0.04145561081571366, 0.11364894542709048]"
2.5 uM treated 50 min 3,"[0.14779406411503304, 0.05396018550615094, 0.14694333389992517]"
2.5 uM untreated 30 min 1,"[0.0833853191730471, 0.02824250177626811, 0.0697159975498021]"
2.5 uM untreated 30 min 2,"[0.07290558319310922, 0.03336945760777028, 0.05165024250501073]"
2.5 uM untreated 50 min 1,"[0.15222870347708034, 0.04396735605645933, 0.12779505236762967]"
2.5 uM untreated 50 min 2,"[0.06247727668439639, 0.022280595158898655, 0.04643337895598857]"
3 uM treated 30 min 1,"[0.04282151383422764, 0.018846485846283987, 0.04151792658455326]"
3 uM treated 30 min 2,"[0.05901922772796007, 0.018144956567939994, 0.06381291750006479]"
3 uM treated 30 min 3,"[0.0711615804892419, 0.020201765694493466, 0.07544324412034992]"
3 uM treated 50 min 1,"[0.2492547469521283, 0.11442860524499379, 0.22654933623212248]"
0.5 uM untreated 30 min 2,"[0.014941810672232936, 0.021434536844951356, 0.006950277596720863]"
3 uM treated 50 min 3,"[0.20502970866070833, 0.044840140831083314, 0.20709176311512645]"
3 uM untreated 30 min 1,"[0.08198457370291723, 0.07433573952768319, 0.06800650880740937]"
3 uM untreated 30 min 2,"[0.038887975845999595, 0.0234303194651594, 0.0269663356369312]"
3 uM untreated 50 min 1,"[0.14857920769056163, 0.46372372323692856, 0.06113518323857118]"
0.5 uM untreated 30 min 1,"[0.014320553508679673, 0.009268474812443346, 0.006303235851222494]"
3 uM treated 30 min 2,"[0.13851535220332664, 0.07068913827721149, 0.12835946647420335]"
3 uM untreated 30 min 1,"[0.1716004136316412, 0.08720064552791847, 0.12302039962885875]"
3 uM untreated 30 min 2,"[0.16025180772383624, 0.13859743343783937, 0.12057722273515967]"
.5 uM treated 50 min 1,"[0.12167204820096038, 0.05914485105932052, 0.12066186181541075]"
.5 uM treated 50 min 2,"[0.1601369282110016, 0.0437599541335757, 0.15583560205930322]"
.5 uM treated 50 min 3,"[0.11608207500417371, 0.06555471284588126, 0.09872642559150822]"
.5 uM untreated 50 min 1,"[0.1821754821642833, 0.06877131119280108, 0.1612372185520797]"
.5 uM untreated 50 min 2,"[0.15857331253613483, 0.12207954607503445, 0.16419687370834038]"
1 um treated 50 min 1,"[0.42314537640244526, 0.9238832238216389, 0.17513888999099206]"
1 uM treated 50 min 2,"[0.36438988647436826, 0.08189472482495219, 0.34059939136280526]"
1 uM treated 50 min 3,"[0.22498943928845783, 0.10561584400712132, 0.2695658991083607]"
1 uM untreated 50 min 1,"[0.1964487351478614, 0.07822397194933127, 0.1667373234368551]"
1 uM untreated 50 min 2,"[0.041968278884811756, 0.027161487937368212, 0.029535998830048506]"
1.5 uM treated 50 min 1,"[0.4324505881742308, 0.20815060353723133, 0.42356901411207254]"
1.5 uM treated 50 min 2,"[0.43259928819733195, 0.16666669409406132, 0.4225900909458849]"
