Concentration,Time,Treatment,Environment,Date,Replica,Average Peak Ratio,Peak Ratio Standard of Deviation,Area Ratio
3,50,Erastin-,Well Plate,190214,2,0.03820617816232858,0.0189112454616957,0.029096984754070424
0.5,50,Erastin-,Well Plate,190214,1,0.005274828582350014,0.008147587952618007,0.0021356748318751115
0.5,50,Erastin-,Well Plate,190214,2,0.013895228063118817,0.014666963748944174,0.009542552816005294
0.5,30,Erastin+,Well Plate,190214,1,0.007279947344387942,0.004016266610778527,0.0028133466000910433
0.5,30,Erastin+,Well Plate,190214,2,0.0045422748465757,0.0053370776526304314,0.0022208798162700978
0.5,30,Erastin+,Well Plate,190214,3,-0.0034124558226844865,0.06059574486241536,0.0037757023837699942
0.5,50,Erastin+,Well Plate,190214,1,0.1124313321043235,0.10616912604392885,0.08929322583901077
0.5,50,Erastin+,Well Plate,190214,2,0.17726419489320075,0.10863016464248595,0.13969742899047116
0.5,50,Erastin+,Well Plate,190214,3,0.11260696486373939,0.030795322602760092,0.09494180692373577
1,30,Erastin-,Well Plate,190214,1,0.017644560378083603,0.02145855779179242,0.011559512575089321
1,30,Erastin-,Well Plate,190214,2,0.008938665647318631,0.011918480839477798,0.0054375267768393765
1,30,Erastin+,Well Plate,190214,1,0.016508497439996557,0.004886379258301366,0.011510090569362875
1,30,Erastin+,Well Plate,190214,2,0.01819784197842236,0.008075430296888824,0.0144010701099127
1,30,Erastin+,Well Plate,190214,3,0.01742393282412256,0.006632380168464509,0.007754711019808462
1,50,Erastin+,Well Plate,190214,1,0.036884333130039665,0.028198592257888937,0.041461687147559385
1,50,Erastin+,Well Plate,190214,2,0.1997799516875019,0.05320667345086813,0.17520451944793028
1,50,Erastin+,Well Plate,190214,3,0.124436878546554,0.03521245466336612,0.1160017314329128
1,50,Erastin-,Well Plate,190214,1,0.04963054031119682,0.05602204654267623,0.03296439348000595
1,50,Erastin-,Well Plate,190214,2,0.062401373751620234,0.027005343859111065,0.04633683887737439
1.5,30,Erastin+,Well Plate,190214,1,0.013683031116091171,0.008123162276247474,0.008504365762406286
1.5,30,Erastin+,Well Plate,190214,2,0.013526186178398797,0.013642716304556372,0.00803381217588917
1.5,30,Erastin+,Well Plate,190214,3,0.03206363698932767,0.01170609663245165,0.026264570365073653
1.5,50,Erastin+,Well Plate,190214,1,0.32548425644601514,0.2209660717458879,0.2397092229550019
1.5,50,Erastin+,Well Plate,190214,2,0.3352069519347104,0.11285078733480612,0.31622734453839296
1.5,50,Erastin+,Well Plate,190214,3,0.2628472417590863,0.10487761363081713,0.22441130836347079
1.5,30,Erastin-,Well Plate,190214,1,0.004268493367267956,0.024350616085577287,0.004761539489023382
1.5,30,Erastin-,Well Plate,190214,2,0.013539634360348017,0.010448094729866415,0.008127095948860973
1.5,50,Erastin-,Well Plate,190214,1,0.1732359153422221,0.053659183846869955,0.1606360631681108
1.2,50,Erastin-,Well Plate,190214,2,0.10341802509894055,0.04422735674822173,0.07832282900960688
2,30,Erastin+,Well Plate,190214,1,0.06135784291543326,0.029208402253644378,0.05989298637498612
2,30,Erastin+,Well Plate,190214,2,0.0309554557268237,0.01353418011206968,0.03026337993719214
2,30,Erastin+,Well Plate,190214,3,0.23650690039647534,0.06628996561226012,0.24957143165839699
2,50,Erastin+,Well Plate,190214,1,0.11089058806361503,0.07483600157068644,0.0899613618767162
2,50,Erastin+,Well Plate,190214,2,0.15428624274921737,0.05588170751894624,0.20661137600001855
2,50,Erastin+,Well Plate,190214,3,0.18928371123716972,0.07307682110395153,0.1714601877549926
2,30,Erastin-,Well Plate,190214,1,0.17312822593706978,0.07116035041029017,0.152425608239744
2,30,Erastin-,Well Plate,190214,2,0.06126260676253753,0.030774136453827605,0.04226534087417483
2,50,Erastin-,Well Plate,190214,1,0.3864269882421447,0.10404114489484019,0.3885561576343882
2,50,Erastin-,Well Plate,190214,2,0.19157898754585023,0.1137303976922283,0.1796549705203627
2.5,30,Erastin+,Well Plate,190214,1,0.04881092769155051,0.02238847714766144,0.05124381021233745
2.5,30,Erastin+,Well Plate,190214,2,0.14782707144946047,0.049732969775613034,0.14018007264204263
2.5,30,Erastin+,Well Plate,190214,3,0.11147894333191716,0.07534255445001468,0.08236977515437174
2.5,50,Erastin+,Well Plate,190214,1,0.20418132001301692,0.057822981884578045,0.21267035228837536
2.5,50,Erastin+,Well Plate,190214,2,0.10860712032853179,0.04145561081641535,0.11364894542434156
2.5,50,Erastin+,Well Plate,190214,3,0.14779406411619025,0.05396018550655453,0.14694333390233263
2.5,30,Erastin-,Well Plate,190214,1,0.08338531917262582,0.028242501776313968,0.06971599754894049
2.5,30,Erastin-,Well Plate,190214,2,0.072905583192741,0.033369457607186674,0.0516502425044502
2.5,50,Erastin-,Well Plate,190214,1,0.15222870347630824,0.0439673560547487,0.1277950523717596
2.5,50,Erastin-,Well Plate,190214,2,0.0624772766822758,0.022280595159234532,0.046433378951663315
3,30,Erastin+,Well Plate,190214,1,0.04282151383372796,0.018846485845867348,0.04151792658436185
3,30,Erastin+,Well Plate,190214,2,0.059019227728088215,0.018144956567961692,0.06381291750042685
3,30,Erastin+,Well Plate,190214,3,0.07116158048952793,0.020201765694845702,0.07544324412108859
3,50,Erastin+,Well Plate,190214,1,0.24925474695363456,0.11442860524554549,0.22654933623472934
0.5,30,Erastin-,Well Plate,190214,2,0.014941810673469325,0.021434536845974954,0.006950277597871325
3,50,Erastin+,Well Plate,190214,3,0.2050297086611043,0.04484014083151549,0.20709176311529442
3,30,Erastin-,Well Plate,190214,1,0.08198457370324948,0.07433573952848666,0.06800650880816832
3,30,Erastin-,Well Plate,190214,2,0.03888797584577937,0.023430319465185975,0.026966335636931103
3,50,Erastin-,Well Plate,190214,1,0.148579207680797,0.46372372314842625,0.06113518323986532
0.5,30,Erastin-,Well Plate,190214,1,0.01432055350871528,0.009268474812661893,0.006303235851173302
