Concentration,Time,Treatment,Environment,Date,Replica,Average Peak Ratio,Peak Ratio Standard of Deviation,Area Ratio
1,50,Radiation-,Cytospin,190328,1,0.024856251796586976,0.017171933334013765,0.013351855429368615
1,50,Radiation-,Cytospin,190328,2,0.03025318193151261,0.012529881960993666,0.01972062534305353
1,50,Radiation-,Cytospin,190328,3,0.01577686807760542,0.03846847181300083,0.01114460344923089
1,50,Radiation+,Cytospin,190328,1,0.007949384470297364,0.007664287280474282,0.0035130459154545835
1,50,Radiation+,Cytospin,190328,2,-0.007611415320648592,0.10276042207005624,0.0038670960862243814
1,50,Radiation+,Cytospin,190328,3,0.021568490179076104,0.0061678616585622925,0.016764864528269273
1.5,50,Radiation-,Cytospin,190328,1,0.014676187272221846,0.02938773614747543,0.00588621452280637
1.5,50,Radiation-,Cytospin,190328,2,0.007191392254489752,0.005425042061287398,0.003041096313544711
1.5,50,Radiation-,Cytospin,190328,3,0.01648006067093019,0.004055406054126004,0.012518126661945184
1.5,50,Radiation+,Cytospin,190328,1,0.009974461364244215,0.009629475523901239,0.003443712844880523
1.5,50,Radiation+,Cytospin,190328,2,0.01213381499520421,0.010347968858539426,0.006529833058830383
1.5,50,Radiation+,Cytospin,190328,3,0.013475951044433302,0.004495846657314375,0.009761260108476834
2,50,Radiation-,Cytospin,190328,1,0.023882313412604092,0.058028365027095935,0.006978851918674865
2,50,Radiation-,Cytospin,190328,2,0.0182429606544199,0.012541137949502368,0.012445346869219167
2,50,Radiation-,Cytospin,190328,3,0.015593994687593461,0.025562538072174193,0.01690607339862902
2,50,Radiation+,Cytospin,190328,1,0.015687504565021375,0.008010935369434266,0.012420996239872356
2,50,Radiation+,Cytospin,190328,2,0.02458366602714445,0.016598265680140376,0.01531942342116717
2,50,Radiation+,Cytospin,190328,3,0.027441893558844403,0.02173027047983241,0.023309590841166218
