Concentration,Time,Treatment,Environment,Cell Line,Date,Replica,Average Peak Ratio,Peak Ratio Standard of Deviation,Area Ratio
1.5,50,Radiation-,C11 -> Cyto,HCC,190418,1,0.02133172172488214,0.013723950964071524,0.013598121512862356
1.5,50,Radiation-,C11 -> Cyto,HCC,190418,2,0.009412937793326102,0.008981601658822943,0.0043772032610850204
1.5,50,Radiation-,C11 -> Cyto,HCC,190418,3,0.030047357169670517,0.02024103226902246,0.01138420294391443
1.5,50,Radiation-,C11 -> Cyto,HCC,190418,4,0.00799953282731946,0.0059084302333218845,0.002684992627709523
1.5,50,Radiation+,C11 -> Cyto,HCC,190418,1,0.028338525894584462,0.02100669686308142,0.07317058285033548
1.5,50,Radiation+,C11 -> Cyto,HCC,190418,2,0.017737863485277613,0.02466373034776453,0.010201948817607179
1.5,50,Radiation+,C11 -> Cyto,HCC,190418,3,0.02146020616123388,0.012681876739774242,0.014928234666044557
1.5,50,Radiation+,C11 -> Cyto,HCC,190418,4,0.009776886158626985,0.008611020219840223,0.00668680415338789
1.5,50,Radiation-,C11 -> Cyto,HT1080,190418,1,0.07171821502678237,0.024508693330709184,0.06212180604308003
1.5,50,Radiation-,C11 -> Cyto,HT1080,190418,2,0.008895540786043177,0.013523455298021408,0.0051366749395764955
1.5,50,Radiation-,C11 -> Cyto,HT1080,190418,3,0.0486421237538775,0.024507913680091,0.03970656935915315
1.5,50,Radiation-,C11 -> Cyto,HT1080,190418,4,0.038359230929317416,0.030099520951491453,0.02854440971639458
1.5,50,Radiation+,C11 -> Cyto,HT1080,190418,1,0.005575810091497714,0.0016054674594857266,0.004057988545995543
1.5,50,Radiation+,C11 -> Cyto,HT1080,190418,2,0.01299737602625978,0.007510853158229869,0.010412890862245188
1.5,50,Radiation+,C11 -> Cyto,HT1080,190418,3,0.04936846094833733,0.06337302576315403,0.03293361923170499
