Concentration,Time,Treatment,Environment,Cell Line,Date,Replica,Average Peak Ratio,Peak Ratio Standard of Deviation,Area Ratio
1.5,50,Radiation+,C11 -> Cyto,HCC,190418,1,0.01537940521936894,0.004987670083904336,0.011135368577861121
1.5,50,Radiation+,C11 -> Cyto,HCC,190418,2,0.011914950398948852,0.008677907913211954,0.007953678368646884
1.5,50,Radiation+,C11 -> Cyto,HCC,190418,3,0.026793533245431773,0.01789078517644558,0.015085060835526224
1.5,50,Radiation+,C11 -> Cyto,HCC,190418,4,0.00747273734149404,0.016697277326836447,0.005054109360910758
1.5,50,Radiation-,C11 -> Cyto,HT1080,190418,1,0.008247886748759791,0.00548412556482465,0.0037701061733240297
1.5,50,Radiation-,C11 -> Cyto,HT1080,190418,2,0.4619560377719958,1.0131613659310823,0.6036601186143579
1.5,50,Radiation-,C11 -> Cyto,HT1080,190418,3,0.04213931789662044,0.023940953902487124,0.02653160089376891
1.5,50,Radiation-,C11 -> Cyto,HT1080,190418,4,0.023890871114923308,0.021632249767186928,0.01369865715558519
1.5,50,Radiation+,C11 -> Cyto,HT1080,190418,1,0.015062595159759891,0.007392415361577027,0.006697884843708046
1.5,50,Radiation+,C11 -> Cyto,HT1080,190418,2,0.010887299494487851,0.02080717096553022,0.007462024988344764
1.5,50,Radiation+,C11 -> Cyto,HT1080,190418,3,0.008043029469412101,0.006551769633294352,0.0034741823119204154
1.5,50,Radiation+,C11 -> Cyto,HT1080,190418,4,0.06712702958917112,0.1649552380365715,0.0191828692098033
