Concentration,Time,Treatment,Environment,Cell Line,Date,Replica,Average Peak Ratio,Peak Ratio Standard of Deviation,Area Ratio
1.5,50,Radiation-,C11 -> Cyto,HCC,190418,1,0.02133172172488214,0.013723950964071524,0.013598121512862356
1.5,50,Radiation-,C11 -> Cyto,HCC,190418,2,0.009412937793326102,0.008981601658822943,0.0043772032610850204
1.5,50,Radiation-,C11 -> Cyto,HCC,190418,3,0.030047357169670517,0.02024103226902246,0.01138420294391443
1.5,50,Radiation-,C11 -> Cyto,HCC,190418,4,0.00799953282731946,0.0059084302333218845,0.002684992627709523
1.5,50,Radiation+,C11 -> Cyto,HCC,190418,1,0.028338525894584462,0.02100669686308142,0.07317058285033548
1.5,50,Radiation+,C11 -> Cyto,HCC,190418,2,0.017737863485277613,0.02466373034776453,0.010201948817607179
1.5,50,Radiation+,C11 -> Cyto,HCC,190418,3,0.02146020616123388,0.012681876739774242,0.014928234666044557
1.5,50,Radiation+,C11 -> Cyto,HCC,190418,4,0.009776886158626985,0.008611020219840223,0.00668680415338789
1.5,50,Radiation-,C11 -> Cyto,HT1080,190418,1,0.07171821502678237,0.024508693330709184,0.06212180604308003
1.5,50,Radiation-,C11 -> Cyto,HT1080,190418,2,0.008895540786043177,0.013523455298021408,0.0051366749395764955
1.5,50,Radiation-,C11 -> Cyto,HT1080,190418,3,0.0486421237538775,0.024507913680091,0.03970656935915315
1.5,50,Radiation-,C11 -> Cyto,HT1080,190418,4,0.038359230929317416,0.030099520951491453,0.02854440971639458
1.5,50,Radiation+,C11 -> Cyto,HT1080,190418,1,0.005575810091497714,0.0016054674594857266,0.004057988545995543
1.5,50,Radiation+,C11 -> Cyto,HT1080,190418,2,0.01299737602625978,0.007510853158229869,0.010412890862245188
1.5,50,Radiation+,C11 -> Cyto,HT1080,190418,3,0.04936846094833733,0.06337302576315403,0.03293361923170499
1.5,50,Radiation+,Cyto -> C11,HCC,190418,1,0.01537940521936894,0.004987670083904336,0.011135368577861121
1.5,50,Radiation+,Cyto -> C11,HCC,190418,2,0.011914950398948852,0.008677907913211954,0.007953678368646884
1.5,50,Radiation+,Cyto -> C11,HCC,190418,3,0.026793533245431773,0.01789078517644558,0.015085060835526224
1.5,50,Radiation+,Cyto -> C11,HCC,190418,4,0.00747273734149404,0.016697277326836447,0.005054109360910758
1.5,50,Radiation-,Cyto -> C11,HT1080,190418,1,0.008247886748759791,0.00548412556482465,0.0037701061733240297
1.5,50,Radiation-,Cyto -> C11,HT1080,190418,2,0.4619560377719958,1.0131613659310823,0.6036601186143579
1.5,50,Radiation-,Cyto -> C11,HT1080,190418,3,0.04213931789662044,0.023940953902487124,0.02653160089376891
1.5,50,Radiation-,Cyto -> C11,HT1080,190418,4,0.023890871114923308,0.021632249767186928,0.01369865715558519
1.5,50,Radiation+,Cyto -> C11,HT1080,190418,1,0.015062595159759891,0.007392415361577027,0.006697884843708046
1.5,50,Radiation+,Cyto -> C11,HT1080,190418,2,0.010887299494487851,0.02080717096553022,0.007462024988344764
1.5,50,Radiation+,Cyto -> C11,HT1080,190418,3,0.008043029469412101,0.006551769633294352,0.0034741823119204154
1.5,50,Radiation+,Cyto -> C11,HT1080,190418,4,0.06712702958917112,0.1649552380365715,0.0191828692098033
1.5,50,Radiation-,Well Plate,HCC,190418,1,0.00957213003046632,0.00967115321199941,0.008347372476875043
1.5,50,Radiation-,Well Plate,HCC,190418,2,0.016186050952451354,0.015096007240958366,0.012152340827316817
1.5,50,Radiation+,Well Plate,HCC,190418,1,0.00902340532410161,0.006364648357271345,0.006854165987127783
1.5,50,Radiation+,Well Plate,HCC,190418,2,0.00746597540917082,0.011696680249622934,0.0038440804069464797
1.5,50,Radiation-,Well Plate,HT1080,190418,1,0.1097306360067781,0.035459804484947566,0.08626125930250954
1.5,50,Radiation-,Well Plate,HT1080,190418,2,0.08135294072633864,0.041663989745443934,0.06350675147973135
1.5,50,Radiation+,Well Plate,HT1080,190418,1,0.31945753183268366,0.08822299083748163,0.2933582730876773
1.5,50,Radiation+,Well Plate,HT1080,190418,2,0.3102327933381051,0.06993832348990078,0.2979693113301592
