Concentration,Time,Treatment,Environment,Cell Line,Date,Replica,Average Peak Ratio,Peak Ratio Standard of Deviation,Area Ratio
1.5,70,Radiation-,C11 -> Cyto,HT1080,190522,1,0.005925999474669274,0.004135771250870577,0.004222807413838237
1.5,70,Radiation-,C11 -> Cyto,HT1080,190522,2,0.0035161572011785094,0.0032171390356562904,0.0016993493703952396
1.5,70,Radiation-,C11 -> Cyto,HT1080,190522,3,0.009309665814443384,0.006335161078679152,0.006994664848785085
1.5,70,Radiation-,C11 -> Cyto,HT1080,190522,4,0.004875390140429618,0.004916317832463098,0.0026510858236152624
1.5,70,Radiation+,C11 -> Cyto,HT1080,190522,1,0.005532009558825442,0.0023987105984600494,0.004167867881165847
1.5,70,Radiation+,C11 -> Cyto,HT1080,190522,2,0.006866758737006638,0.02460636716852604,0.002182062035467799
1.5,70,Radiation+,C11 -> Cyto,HT1080,190522,3,0.006842395470874124,0.027315313327551136,0.0039806328867737694
1.5,70,Radiation+,C11 -> Cyto,HT1080,190522,4,0.003015198339671584,0.00818146034570563,0.0030702411702413957
1.5,50,Radiation-,C11 -> Cyto,HT1080,190522,1,0.005934533508361668,0.003466441243112196,0.003095104210025552
1.5,50,Radiation-,C11 -> Cyto,HT1080,190522,2,0.004445518103352537,0.00984994461332996,0.002710882064081439
1.5,50,Radiation-,C11 -> Cyto,HT1080,190522,3,0.0009764030335229695,0.0179972198906442,0.0008060902771830801
1.5,50,Radiation-,C11 -> Cyto,HT1080,190522,4,0.004085442614939217,0.0038928831386038313,0.002145880839386921
1.5,50,Radiation+,C11 -> Cyto,HT1080,190522,1,0.01092196307048794,0.005999397438904826,0.006460713238711229
1.5,50,Radiation+,C11 -> Cyto,HT1080,190522,2,0.006217737614709748,0.017081105809317567,0.0015147368423937063
1.5,50,Radiation+,C11 -> Cyto,HT1080,190522,3,0.008137242983069873,0.011436153929283958,0.005666139847958572
1.5,50,Radiation+,C11 -> Cyto,HT1080,190522,4,0.004072996664681833,0.002650731042352343,0.0020003645136549035
1.5,30,Radiation-,C11 -> Cyto,HT1080,190522,1,0.009316036829882815,0.013504023140741728,0.005731618310041835
1.5,30,Radiation-,C11 -> Cyto,HT1080,190522,2,0.0038381604482993627,0.006090660947530181,0.002543531771924177
1.5,30,Radiation-,C11 -> Cyto,HT1080,190522,3,0.007641241662679204,0.004574123253901178,0.005316922205858549
1.5,30,Radiation-,C11 -> Cyto,HT1080,190522,4,0.004992636227306406,0.0034943852042363106,0.0027280178910574376
1.5,30,Radiation+,C11 -> Cyto,HT1080,190522,1,0.005123791445739308,0.004403479542419441,0.003002471895199523
1.5,30,Radiation+,C11 -> Cyto,HT1080,190522,2,0.005629718259078611,0.006698110500366106,0.003732898146415472
1.5,30,Radiation+,C11 -> Cyto,HT1080,190522,3,0.007100057376558364,0.006629041409537536,0.004394350724436957
1.5,30,Radiation+,C11 -> Cyto,HT1080,190522,4,0.00416772072683426,0.004535334243668327,0.002310315001043424
1.5,50,Radiation-,Well Plate,HT1080,190522,1,0.0802713263178035,0.03971218102359481,0.05847133203066291
1.5,50,Radiation-,Well Plate,HT1080,190522,2,0.0951239813278957,0.04127960799190721,0.06488861126173973
1.5,50,Radiation+,Well Plate,HT1080,190522,1,0.05112080295014795,0.019014795510771912,0.041513961484231164
1.5,50,Radiation+,Well Plate,HT1080,190522,2,0.025628023186794312,0.013122218439847854,0.017947041289621903
